Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2021-01-01,25.0,V ugm-3,10.0,V ugm-3 (Ref.eq),11.0,V ugm-3 (BAM)
2021-01-02,28.0,V ugm-3,7.0,V ugm-3 (Ref.eq),6.0,V ugm-3 (BAM)
2021-01-03,12.0,V ugm-3,6.0,V ugm-3 (Ref.eq),7.0,V ugm-3 (BAM)
2021-01-04,13.0,V ugm-3,7.0,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-05,14.0,V ugm-3,7.0,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-06,20.0,V ugm-3,11.0,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-07,34.0,V ugm-3,18.0,V ugm-3 (Ref.eq),18.0,V ugm-3 (BAM)
2021-01-08,33.0,V ugm-3,14.0,V ugm-3 (Ref.eq),15.0,V ugm-3 (BAM)
2021-01-09,20.0,V ugm-3,15.0,V ugm-3 (Ref.eq),16.0,V ugm-3 (BAM)
2021-01-10,31.0,V ugm-3,18.0,V ugm-3 (Ref.eq),18.0,V ugm-3 (BAM)
2021-01-11,15.0,V ugm-3,8.0,V ugm-3 (Ref.eq),4.0,V ugm-3 (BAM)
2021-01-12,21.0,V ugm-3,7.0,V ugm-3 (Ref.eq),5.0,V ugm-3 (BAM)
2021-01-13,14.0,V ugm-3,5.0,V ugm-3 (Ref.eq),5.0,V ugm-3 (BAM)
2021-01-14,10.0,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-15,24.0,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-16,15.0,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-17,17.0,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-18,30.0,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-19,15.0,V ugm-3,3.0,V ugm-3 (Ref.eq),2.0,V ugm-3 (BAM)
2021-01-20,18.0,V ugm-3,3.0,V ugm-3 (Ref.eq),2.0,V ugm-3 (BAM)
2021-01-21,,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-22,,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2021-01-23,35.0,V ugm-3,13.0,V ugm-3 (Ref.eq),13.0,V ugm-3 (BAM)
2021-01-24,24.0,V ugm-3,8.0,V ugm-3 (Ref.eq),9.0,V ugm-3 (BAM)
2021-01-25,37.0,V ugm-3,10.0,V ugm-3 (Ref.eq),9.0,V ugm-3 (BAM)
2021-01-26,37.0,V ugm-3,7.0,V ugm-3 (Ref.eq),7.0,V ugm-3 (BAM)
2021-01-27,27.0,V ugm-3,3.0,V ugm-3 (Ref.eq),3.0,V ugm-3 (BAM)
2021-01-28,12.0,V ugm-3,12.0,V ugm-3 (Ref.eq),7.0,V ugm-3 (BAM)
