Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2006-01-01,17.0,V ,13.0,V ,,
2006-01-02,41.0,V ,22.0,V ,,
2006-01-03,50.0,V ugm-3,17.0,V ugm-3 (INDIC.GRAV),,
2006-01-04,43.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2006-01-05,47.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2006-01-06,38.0,V ugm-3,30.0,V ugm-3 (INDIC.GRAV),,
2006-01-07,41.0,V ugm-3,35.0,V ugm-3 (INDIC.GRAV),,
2006-01-08,32.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2006-01-09,39.0,V ugm-3,29.0,V ugm-3 (INDIC.GRAV),,
2006-01-10,44.0,V ugm-3,15.0,V ugm-3 (INDIC.GRAV),,
2006-01-11,54.0,V ugm-3,39.0,V ugm-3 (INDIC.GRAV),,
2006-01-12,35.0,V ugm-3,25.0,V ugm-3 (INDIC.GRAV),,
2006-01-13,28.0,V ugm-3,28.0,V ugm-3 (INDIC.GRAV),,
2006-01-14,49.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2006-01-15,15.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2006-01-16,34.0,V ugm-3,28.0,V ugm-3 (INDIC.GRAV),,
2006-01-17,38.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2006-01-18,43.0,V ugm-3,33.0,V ugm-3 (INDIC.GRAV),,
2006-01-19,36.0,V ugm-3,20.0,V ugm-3 (INDIC.GRAV),,
2006-01-20,36.0,V ugm-3,29.0,V ugm-3 (INDIC.GRAV),,
2006-01-21,49.0,V ugm-3,41.0,V ugm-3 (INDIC.GRAV),,
2006-01-22,45.0,V ugm-3,34.0,V ugm-3 (INDIC.GRAV),,
2006-01-23,41.0,V ugm-3,37.0,V ugm-3 (INDIC.GRAV),,
2006-01-24,41.0,V ugm-3,37.0,V ugm-3 (INDIC.GRAV),,
2006-01-25,48.0,V ugm-3,31.0,V ugm-3 (INDIC.GRAV),,
2006-01-26,38.0,V ugm-3,25.0,V ugm-3 (INDIC.GRAV),,
2006-01-27,34.0,V ugm-3,18.0,V ugm-3 (INDIC.GRAV),,
2006-01-28,28.0,V ugm-3,21.0,V ugm-3 (INDIC.GRAV),,
2006-01-29,20.0,V ugm-3,18.0,V ugm-3 (INDIC.GRAV),,
2006-01-30,34.0,V ugm-3,17.0,V ugm-3 (INDIC.GRAV),,
2006-01-31,44.0,V ugm-3,25.0,V ugm-3 (INDIC.GRAV),,
2006-02-01,54.0,V ugm-3,45.0,V ugm-3 (INDIC.GRAV),,
2006-02-02,38.0,V ugm-3,35.0,V ugm-3 (INDIC.GRAV),,
2006-02-03,57.0,V ugm-3,57.0,V ugm-3 (INDIC.GRAV),,
2006-02-04,60.0,V ugm-3,45.0,V ugm-3 (INDIC.GRAV),,
2006-02-05,54.0,V ugm-3,31.0,V ugm-3 (INDIC.GRAV),,
2006-02-06,52.0,V ugm-3,38.0,V ugm-3 (INDIC.GRAV),,
2006-02-07,37.0,V ugm-3,31.0,V ugm-3 (INDIC.GRAV),,
2006-02-08,37.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2006-02-09,52.0,V ugm-3,26.0,V ugm-3 (INDIC.GRAV),,
2006-02-10,67.0,V ugm-3,35.0,V ugm-3 (INDIC.GRAV),,
2006-02-11,73.0,V ugm-3,40.0,V ugm-3 (INDIC.GRAV),,
2006-02-12,26.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2006-02-13,60.0,V ugm-3,29.0,V ugm-3 (INDIC.GRAV),,
2006-02-14,32.0,V ugm-3,26.0,V ugm-3 (INDIC.GRAV),,
2006-02-15,38.0,V ugm-3,48.0,V ugm-3 (INDIC.GRAV),,
2006-02-16,40.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2006-02-17,58.0,V ugm-3,36.0,V ugm-3 (INDIC.GRAV),,
