Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2010-01-01,36.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2010-01-02,55.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2010-01-03,31.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2010-01-04,63.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),22.0,V ugm-3 (TEOM FDMS)
2010-01-05,67.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2010-01-06,34.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2010-01-07,68.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2010-01-08,59.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2010-01-09,29.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2010-01-10,29.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2010-01-11,48.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),29.0,V ugm-3 (TEOM FDMS)
2010-01-12,42.0,V ugm-3,42.0,V ugm-3 (TEOM FDMS),34.0,V ugm-3 (TEOM FDMS)
2010-01-13,49.0,V ugm-3,44.0,V ugm-3 (TEOM FDMS),38.0,V ugm-3 (TEOM FDMS)
2010-01-14,58.0,V ugm-3,35.0,V ugm-3 (TEOM FDMS),28.0,V ugm-3 (TEOM FDMS)
2010-01-15,36.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2010-01-16,34.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2010-01-17,44.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2010-01-18,48.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2010-01-19,27.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2010-01-20,40.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2010-01-21,45.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),22.0,V ugm-3 (TEOM FDMS)
