Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2023-01-01,,V ugm-3,16.0,V ugm-3 (Ref.eq),10.0,V ugm-3 (BAM)
2023-01-02,,V ugm-3,16.0,V ugm-3 (Ref.eq),14.0,V ugm-3 (BAM)
2023-01-03,,V ugm-3,9.0,V ugm-3 (Ref.eq),8.0,V ugm-3 (BAM)
2023-01-04,,V ugm-3,27.0,V ugm-3 (Ref.eq),15.0,V ugm-3 (BAM)
2023-01-05,,V ugm-3,12.0,V ugm-3 (Ref.eq),9.0,V ugm-3 (BAM)
2023-01-06,,V ugm-3,9.0,V ugm-3 (Ref.eq),7.0,V ugm-3 (BAM)
2023-01-07,,V ugm-3,11.0,V ugm-3 (Ref.eq),9.0,V ugm-3 (BAM)
2023-01-08,,V ugm-3,10.0,V ugm-3 (Ref.eq),7.0,V ugm-3 (BAM)
2023-01-09,,V ugm-3,18.0,V ugm-3 (Ref.eq),11.0,V ugm-3 (BAM)
2023-01-10,,V ugm-3,16.0,V ugm-3 (Ref.eq),10.0,V ugm-3 (BAM)
2023-01-11,,V ugm-3,20.0,V ugm-3 (Ref.eq),12.0,V ugm-3 (BAM)
2023-01-12,7.0,V ugm-3,17.0,V ugm-3 (Ref.eq),12.0,V ugm-3 (BAM)
2023-01-13,10.0,V ugm-3,21.0,V ugm-3 (Ref.eq),12.0,V ugm-3 (BAM)
2023-01-14,9.0,V ugm-3,10.0,V ugm-3 (Ref.eq),7.0,V ugm-3 (BAM)
2023-01-15,12.0,V ugm-3,13.0,V ugm-3 (Ref.eq),9.0,V ugm-3 (BAM)
2023-01-16,26.0,V ugm-3,10.0,V ugm-3 (Ref.eq),9.0,V ugm-3 (BAM)
2023-01-17,40.0,V ugm-3,11.0,V ugm-3 (Ref.eq),11.0,V ugm-3 (BAM)
2023-01-18,25.0,V ugm-3,9.0,V ugm-3 (Ref.eq),7.0,V ugm-3 (BAM)
2023-01-19,29.0,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
2023-01-20,42.0,V ugm-3,,V ugm-3 (Ref.eq),,V ugm-3 (BAM)
