Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2018-01-01,11.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2018-01-02,22.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2018-01-03,9.0,V ugm-3,32.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2018-01-04,18.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2018-01-05,34.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2018-01-06,31.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2018-01-07,11.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2018-01-08,24.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2018-01-09,24.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),19.0,V ugm-3 (TEOM FDMS)
2018-01-10,55.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2018-01-11,50.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2018-01-12,42.0,V ugm-3,32.0,V ugm-3 (TEOM FDMS),28.0,V ugm-3 (TEOM FDMS)
2018-01-13,22.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),18.0,V ugm-3 (TEOM FDMS)
2018-01-14,21.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),22.0,V ugm-3 (TEOM FDMS)
2018-01-15,15.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2018-01-16,20.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2018-01-17,17.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2018-01-18,19.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2018-01-19,34.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2018-01-20,35.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2018-01-21,28.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2018-01-22,30.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2018-01-23,16.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2018-01-24,14.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2018-01-25,22.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2018-01-26,38.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2018-01-27,20.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2018-01-28,8.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2018-01-29,19.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2018-01-30,34.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2018-01-31,15.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2018-02-01,14.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),2.0,V ugm-3 (TEOM FDMS)
2018-02-02,33.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2018-02-03,29.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2018-02-04,17.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2018-02-05,26.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2018-02-06,27.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2018-02-07,45.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2018-02-08,36.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2018-02-09,18.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2018-02-10,19.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2018-02-11,10.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2018-02-12,25.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2018-02-13,22.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2018-02-14,22.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2018-02-15,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2018-02-16,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2018-02-17,32.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2018-02-18,20.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2018-02-19,23.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2018-02-20,16.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2018-02-21,28.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2018-02-22,30.0,V ugm-3,32.0,V ugm-3 (TEOM FDMS),24.0,V ugm-3 (TEOM FDMS)
2018-02-23,30.0,V ugm-3,33.0,V ugm-3 (TEOM FDMS),23.0,V ugm-3 (TEOM FDMS)
2018-02-24,26.0,V ugm-3,38.0,V ugm-3 (TEOM FDMS),29.0,V ugm-3 (TEOM FDMS)
2018-02-25,19.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2018-02-26,19.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2018-02-27,23.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2018-02-28,20.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2018-03-01,19.0,V ugm-3,35.0,V ugm-3 (TEOM FDMS),26.0,V ugm-3 (TEOM FDMS)
2018-03-02,18.0,V ugm-3,38.0,V ugm-3 (TEOM FDMS),32.0,V ugm-3 (TEOM FDMS)
2018-03-03,28.0,V ugm-3,50.0,V ugm-3 (TEOM FDMS),44.0,V ugm-3 (TEOM FDMS)
2018-03-04,21.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2018-03-05,35.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2018-03-06,47.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2018-03-07,41.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2018-03-08,16.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2018-03-09,38.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
