Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2008-01-01,32.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),,
2008-01-02,30.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),,
2008-01-03,40.0,V ugm-3,31.0,V ugm-3 (TEOM FDMS),,
2008-01-04,38.0,V ugm-3,35.0,V ugm-3 (TEOM FDMS),,
2008-01-05,39.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),,
2008-01-06,35.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),,
2008-01-07,19.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),,
2008-01-08,28.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),,
2008-01-09,24.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),,
2008-01-10,25.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),,
2008-01-11,28.0,V ugm-3,8.0,V ugm-3 (TEOM FDMS),,
2008-01-12,34.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),,
2008-01-13,13.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),,
2008-01-14,18.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),,
2008-01-15,28.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),,
2008-01-16,51.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),,
2008-01-17,25.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),,
2008-01-18,16.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),,
2008-01-19,9.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),,
2008-01-20,7.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),,
2008-01-21,13.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),,
2008-01-22,41.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),,
2008-01-23,23.0,V ugm-3,68.0,V ugm-3 (TEOM FDMS),,
2008-01-24,23.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),,
2008-01-25,17.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),,
2008-01-26,26.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),,
2008-01-27,32.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),,
2008-01-28,,V ugm-3,,V ugm-3 (TEOM FDMS),,
2008-01-29,,V ugm-3,,V ugm-3 (TEOM FDMS),,
2008-01-30,31.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),,
2008-01-31,22.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),,
2008-02-01,29.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),,
2008-02-02,49.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),,
2008-02-03,17.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),,
2008-02-04,38.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),,
2008-02-05,19.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),,
2008-02-06,29.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),,
2008-02-07,33.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),,
2008-02-08,34.0,V ugm-3,35.0,V ugm-3 (TEOM FDMS),,
2008-02-09,57.0,V ugm-3,46.0,V ugm-3 (TEOM FDMS),,
2008-02-10,55.0,V ugm-3,47.0,V ugm-3 (TEOM FDMS),,
2008-02-11,59.0,V ugm-3,51.0,V ugm-3 (TEOM FDMS),,
2008-02-12,64.0,V ugm-3,54.0,V ugm-3 (TEOM FDMS),,
2008-02-13,64.0,V ugm-3,63.0,V ugm-3 (TEOM FDMS),,
2008-02-14,46.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),,
