Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2012-01-01,13.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2012-01-02,21.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2012-01-03,17.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2012-01-04,20.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2012-01-05,14.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2012-01-06,33.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2012-01-07,14.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2012-01-08,12.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2012-01-09,14.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2012-01-10,27.0,V ugm-3,8.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2012-01-11,19.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2012-01-12,23.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2012-01-13,51.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2012-01-14,38.0,V ugm-3,27.0,V ugm-3 (TEOM FDMS),18.0,V ugm-3 (TEOM FDMS)
2012-01-15,25.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2012-01-16,45.0,V ugm-3,38.0,V ugm-3 (TEOM FDMS),28.0,V ugm-3 (TEOM FDMS)
2012-01-17,,V ugm-3,52.0,V ugm-3 (TEOM FDMS),42.0,V ugm-3 (TEOM FDMS)
2012-01-18,,V ugm-3,13.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2012-01-19,20.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2012-01-20,17.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2012-01-21,14.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2012-01-22,18.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2012-01-23,47.0,V ugm-3,,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2012-01-24,34.0,V ugm-3,,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2012-01-25,22.0,V ugm-3,,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2012-01-26,44.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2012-01-27,46.0,V ugm-3,,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2012-01-28,37.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2012-01-29,33.0,V ugm-3,27.0,V ugm-3 (TEOM FDMS),25.0,V ugm-3 (TEOM FDMS)
2012-01-30,32.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),25.0,V ugm-3 (TEOM FDMS)
2012-01-31,38.0,V ugm-3,47.0,V ugm-3 (TEOM FDMS),42.0,V ugm-3 (TEOM FDMS)
2012-02-01,28.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),26.0,V ugm-3 (TEOM FDMS)
2012-02-02,34.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2012-02-03,52.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),22.0,V ugm-3 (TEOM FDMS)
2012-02-04,42.0,V ugm-3,27.0,V ugm-3 (TEOM FDMS),24.0,V ugm-3 (TEOM FDMS)
2012-02-05,34.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2012-02-06,55.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),19.0,V ugm-3 (TEOM FDMS)
2012-02-07,40.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2012-02-08,33.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),19.0,V ugm-3 (TEOM FDMS)
2012-02-09,40.0,V ugm-3,40.0,V ugm-3 (TEOM FDMS),34.0,V ugm-3 (TEOM FDMS)
2012-02-10,32.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),28.0,V ugm-3 (TEOM FDMS)
2012-02-11,45.0,V ugm-3,39.0,V ugm-3 (TEOM FDMS),35.0,V ugm-3 (TEOM FDMS)
