Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2002-01-01,56.0,V ugm-3,40.0,V ugm-3 (INDIC.GRAV),,
2002-01-02,44.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2002-01-03,47.0,V ugm-3,31.0,V ugm-3 (INDIC.GRAV),,
2002-01-04,51.0,V ugm-3,43.0,V ugm-3 (INDIC.GRAV),,
2002-01-05,44.0,V ugm-3,35.0,V ugm-3 (INDIC.GRAV),,
2002-01-06,40.0,V ugm-3,26.0,V ugm-3 (INDIC.GRAV),,
2002-01-07,49.0,V ugm-3,40.0,V ugm-3 (INDIC.GRAV),,
2002-01-08,45.0,V ugm-3,47.0,V ugm-3 (INDIC.GRAV),,
2002-01-09,43.0,V ugm-3,50.0,V ugm-3 (INDIC.GRAV),,
2002-01-10,50.0,V ugm-3,39.0,V ugm-3 (INDIC.GRAV),,
2002-01-11,54.0,V ugm-3,65.0,V ugm-3 (INDIC.GRAV),,
2002-01-12,32.0,V ugm-3,25.0,V ugm-3 (INDIC.GRAV),,
2002-01-13,31.0,V ugm-3,32.0,V ugm-3 (INDIC.GRAV),,
2002-01-14,42.0,V ugm-3,34.0,V ugm-3 (INDIC.GRAV),,
2002-01-15,45.0,V ugm-3,40.0,V ugm-3 (INDIC.GRAV),,
2002-01-16,46.0,V ugm-3,39.0,V ugm-3 (INDIC.GRAV),,
2002-01-17,44.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2002-01-18,45.0,V ugm-3,32.0,V ugm-3 (INDIC.GRAV),,
2002-01-19,26.0,V ugm-3,35.0,V ugm-3 (INDIC.GRAV),,
2002-01-20,11.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2002-01-21,25.0,V ugm-3,34.0,V ugm-3 (INDIC.GRAV),,
2002-01-22,28.0,V ugm-3,31.0,V ugm-3 (INDIC.GRAV),,
2002-01-23,27.0,V ugm-3,71.0,V ugm-3 (INDIC.GRAV),,
2002-01-24,33.0,V ugm-3,30.0,V ugm-3 (INDIC.GRAV),,
2002-01-25,33.0,V ugm-3,57.0,V ugm-3 (INDIC.GRAV),,
2002-01-26,21.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2002-01-27,24.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2002-01-28,18.0,V ugm-3,47.0,V ugm-3 (INDIC.GRAV),,
2002-01-29,36.0,V ugm-3,43.0,V ugm-3 (INDIC.GRAV),,
2002-01-30,30.0,V ugm-3,28.0,V ugm-3 (INDIC.GRAV),,
2002-01-31,36.0,V ugm-3,63.0,V ugm-3 (INDIC.GRAV),,
2002-02-01,28.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2002-02-02,36.0,V ugm-3,20.0,V ugm-3 (INDIC.GRAV),,
2002-02-03,26.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2002-02-04,30.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2002-02-05,33.0,V ugm-3,30.0,V ugm-3 (INDIC.GRAV),,
2002-02-06,38.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2002-02-07,44.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2002-02-08,33.0,V ugm-3,29.0,V ugm-3 (INDIC.GRAV),,
2002-02-09,24.0,V ugm-3,36.0,V ugm-3 (INDIC.GRAV),,
2002-02-10,23.0,V ugm-3,38.0,V ugm-3 (INDIC.GRAV),,
2002-02-11,27.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2002-02-12,34.0,V ugm-3,49.0,V ugm-3 (INDIC.GRAV),,
2002-02-13,36.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2002-02-14,40.0,V ugm-3,23.0,V ugm-3 (INDIC.GRAV),,
2002-02-15,59.0,V ugm-3,33.0,V ugm-3 (INDIC.GRAV),,
2002-02-16,51.0,V ugm-3,35.0,V ugm-3 (INDIC.GRAV),,
2002-02-17,42.0,V ugm-3,21.0,V ugm-3 (INDIC.GRAV),,
