Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2017-01-01,7.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-01-02,17.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-01-03,21.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-01-04,19.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-01-05,32.0,V ugm-3,27.0,V ugm-3 (TEOM FDMS),17.0,V ugm-3 (TEOM FDMS)
2017-01-06,30.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),17.0,V ugm-3 (TEOM FDMS)
2017-01-07,17.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-01-08,16.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-01-09,13.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-01-10,13.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-01-11,8.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-01-12,15.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-01-13,7.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-01-14,14.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-01-15,6.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-01-16,15.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-01-17,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-01-18,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-01-19,36.0,V ugm-3,,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2017-01-20,47.0,V ugm-3,,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2017-01-21,48.0,V ugm-3,,V ugm-3 (TEOM FDMS),27.0,V ugm-3 (TEOM FDMS)
2017-01-22,42.0,V ugm-3,,V ugm-3 (TEOM FDMS),48.0,V ugm-3 (TEOM FDMS)
2017-01-23,68.0,V ugm-3,,V ugm-3 (TEOM FDMS),45.0,V ugm-3 (TEOM FDMS)
2017-01-24,58.0,V ugm-3,,V ugm-3 (TEOM FDMS),28.0,V ugm-3 (TEOM FDMS)
2017-01-25,46.0,V ugm-3,31.0,V ugm-3 (TEOM FDMS),25.0,V ugm-3 (TEOM FDMS)
2017-01-26,25.0,V ugm-3,40.0,V ugm-3 (TEOM FDMS),29.0,V ugm-3 (TEOM FDMS)
2017-01-27,38.0,V ugm-3,48.0,V ugm-3 (TEOM FDMS),37.0,V ugm-3 (TEOM FDMS)
2017-01-28,26.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-01-29,34.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-01-30,36.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-01-31,30.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-02-01,26.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-02-02,13.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-02-03,23.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-02-04,36.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-02-05,37.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-02-06,37.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-02-07,46.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-02-08,42.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2017-02-09,28.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),18.0,V ugm-3 (TEOM FDMS)
2017-02-10,26.0,V ugm-3,32.0,V ugm-3 (TEOM FDMS),25.0,V ugm-3 (TEOM FDMS)
2017-02-11,22.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2017-02-12,16.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),23.0,V ugm-3 (TEOM FDMS)
2017-02-13,30.0,V ugm-3,51.0,V ugm-3 (TEOM FDMS),39.0,V ugm-3 (TEOM FDMS)
2017-02-14,41.0,V ugm-3,52.0,V ugm-3 (TEOM FDMS),39.0,V ugm-3 (TEOM FDMS)
2017-02-15,26.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2017-02-16,23.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-02-17,27.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2017-02-18,27.0,V ugm-3,31.0,V ugm-3 (TEOM FDMS),22.0,V ugm-3 (TEOM FDMS)
2017-02-19,13.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-02-20,16.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-02-21,14.0,V ugm-3,7.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2017-02-22,11.0,V ugm-3,6.0,V ugm-3 (TEOM FDMS),2.0,V ugm-3 (TEOM FDMS)
2017-02-23,12.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-02-24,26.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-02-25,19.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-02-26,12.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2017-02-27,25.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2017-02-28,23.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-03-01,26.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-03-02,16.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-03-03,20.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-03-04,18.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-03-05,11.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-03-06,36.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2017-03-07,27.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-03-08,30.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-03-09,31.0,V ugm-3,,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-03-10,31.0,V ugm-3,,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2017-03-11,24.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2017-03-12,17.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-03-13,28.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-03-14,19.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-03-15,34.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2017-03-16,23.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-03-17,21.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-03-18,12.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-03-19,8.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-03-20,19.0,V ugm-3,7.0,V ugm-3 (TEOM FDMS),2.0,V ugm-3 (TEOM FDMS)
2017-03-21,22.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-03-22,38.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-03-23,26.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2017-03-24,20.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),17.0,V ugm-3 (TEOM FDMS)
2017-03-25,17.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2017-03-26,13.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-03-27,26.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),26.0,V ugm-3 (TEOM FDMS)
2017-03-28,31.0,V ugm-3,36.0,V ugm-3 (TEOM FDMS),28.0,V ugm-3 (TEOM FDMS)
2017-03-29,27.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-03-30,21.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-03-31,16.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-04-01,17.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-04-02,17.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-04-03,23.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-04-04,22.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-04-05,24.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-04-06,27.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-04-07,32.0,V ugm-3,30.0,V ugm-3 (TEOM FDMS),21.0,V ugm-3 (TEOM FDMS)
2017-04-08,32.0,V ugm-3,41.0,V ugm-3 (TEOM FDMS),29.0,V ugm-3 (TEOM FDMS)
2017-04-09,20.0,V ugm-3,38.0,V ugm-3 (TEOM FDMS),27.0,V ugm-3 (TEOM FDMS)
2017-04-10,17.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-04-11,22.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-04-12,16.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-04-13,27.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-04-14,18.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-04-15,17.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-04-16,14.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-04-17,14.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-04-18,24.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-04-19,26.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2017-04-20,32.0,V ugm-3,27.0,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2017-04-21,23.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-04-22,16.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-04-23,14.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-04-24,19.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-04-25,20.0,V ugm-3,8.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2017-04-26,24.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-04-27,25.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-04-28,28.0,V ugm-3,8.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2017-04-29,27.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-04-30,20.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2017-05-01,22.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-05-02,21.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2017-05-03,16.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2017-05-04,17.0,V ugm-3,27.0,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2017-05-05,13.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-05-06,15.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2017-05-07,15.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2017-05-08,17.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2017-05-09,16.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2017-05-10,23.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2017-05-11,34.0,V ugm-3,34.0,V ugm-3 (TEOM FDMS),23.0,V ugm-3 (TEOM FDMS)
2017-05-12,20.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-05-13,13.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-05-14,11.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-05-15,16.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-05-16,18.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-05-17,26.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-05-18,19.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-05-19,19.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-05-20,20.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-05-21,12.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-05-22,18.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-05-23,13.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-05-24,23.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
2017-05-25,24.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2017-05-26,22.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2017-05-27,13.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2017-05-28,12.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-05-29,14.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),18.0,V ugm-3 (TEOM FDMS)
2017-05-30,13.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2017-05-31,17.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-06-01,16.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2017-06-02,19.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),11.0,V ugm-3 (TEOM FDMS)
2017-06-03,14.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-06-04,18.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-06-05,13.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-06-06,10.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2017-06-07,14.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-06-08,13.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2017-06-09,13.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-06-10,10.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-06-11,5.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2017-06-12,10.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2017-06-13,14.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-06-14,20.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2017-06-15,10.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2017-06-16,12.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),14.0,V ugm-3 (TEOM FDMS)
