Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2020-01-01,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-02,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-03,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-04,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-05,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-06,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-07,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-08,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-09,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-10,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-11,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-12,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-13,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-14,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-15,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-16,23.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-17,36.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-18,59.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-19,51.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-20,59.0,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-21,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-22,,V ugm-3,,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-01-23,36.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),18.0,V ugm-3 (TEOM FDMS)
2020-01-24,39.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2020-01-25,29.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2020-01-26,25.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2020-01-27,35.0,V ugm-3,7.0,V ugm-3 (TEOM FDMS),2.0,V ugm-3 (TEOM FDMS)
2020-01-28,33.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2020-01-29,27.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2020-01-30,25.0,V ugm-3,5.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-01-31,32.0,V ugm-3,4.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-02-01,14.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2020-02-02,12.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2020-02-03,22.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2020-02-04,20.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2020-02-05,52.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2020-02-06,44.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),18.0,V ugm-3 (TEOM FDMS)
2020-02-07,29.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2020-02-08,19.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2020-02-09,6.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2020-02-10,14.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2020-02-11,17.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2020-02-12,27.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-02-13,24.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-02-14,41.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-02-15,16.0,V ugm-3,6.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-02-16,8.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-02-17,16.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),,V ugm-3 (TEOM FDMS)
2020-02-18,16.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-02-19,27.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-02-20,17.0,V ugm-3,8.0,V ugm-3 (TEOM FDMS),1.0,V ugm-3 (TEOM FDMS)
2020-02-21,14.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2020-02-22,10.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2020-02-23,16.0,V ugm-3,7.0,V ugm-3 (TEOM FDMS),1.0,V ugm-3 (TEOM FDMS)
2020-02-24,13.0,V ugm-3,9.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-02-25,22.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),2.0,V ugm-3 (TEOM FDMS)
2020-02-26,24.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-02-27,30.0,V ugm-3,8.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-02-28,27.0,V ugm-3,8.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-02-29,11.0,V ugm-3,14.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2020-03-01,19.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-03-02,25.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-03-03,32.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2020-03-04,31.0,V ugm-3,11.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2020-03-05,30.0,V ugm-3,16.0,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2020-03-06,32.0,V ugm-3,17.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2020-03-07,23.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
2020-03-08,9.0,V ugm-3,13.0,V ugm-3 (TEOM FDMS),3.0,V ugm-3 (TEOM FDMS)
2020-03-09,18.0,V ugm-3,15.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2020-03-10,13.0,V ugm-3,6.0,V ugm-3 (TEOM FDMS),2.0,V ugm-3 (TEOM FDMS)
