Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2001-01-01,23.0,V ugm-3,26.0,V ugm-3 (INDIC.GRAV),,
2001-01-02,32.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2001-01-03,38.0,V ugm-3,21.0,V ugm-3 (INDIC.GRAV),,
2001-01-04,42.0,V ugm-3,19.0,V ugm-3 (INDIC.GRAV),,
2001-01-05,52.0,V ugm-3,21.0,V ugm-3 (INDIC.GRAV),,
2001-01-06,48.0,V ugm-3,23.0,V ugm-3 (INDIC.GRAV),,
2001-01-07,38.0,V ugm-3,25.0,V ugm-3 (INDIC.GRAV),,
2001-01-08,51.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2001-01-09,67.0,V ugm-3,33.0,V ugm-3 (INDIC.GRAV),,
2001-01-10,35.0,V ugm-3,18.0,V ugm-3 (INDIC.GRAV),,
2001-01-11,26.0,V ugm-3,22.0,V ugm-3 (INDIC.GRAV),,
2001-01-12,36.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2001-01-13,37.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
2001-01-14,25.0,V ugm-3,20.0,V ugm-3 (INDIC.GRAV),,
2001-01-15,42.0,V ugm-3,30.0,V ugm-3 (INDIC.GRAV),,
2001-01-16,51.0,V ugm-3,46.0,V ugm-3 (INDIC.GRAV),,
2001-01-17,57.0,V ugm-3,59.0,V ugm-3 (INDIC.GRAV),,
2001-01-18,64.0,V ugm-3,63.0,V ugm-3 (INDIC.GRAV),,
2001-01-19,70.0,V ugm-3,70.0,V ugm-3 (INDIC.GRAV),,
2001-01-20,49.0,V ugm-3,37.0,V ugm-3 (INDIC.GRAV),,
2001-01-21,42.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2001-01-22,44.0,V ugm-3,23.0,V ugm-3 (INDIC.GRAV),,
2001-01-23,36.0,V ugm-3,25.0,V ugm-3 (INDIC.GRAV),,
2001-01-24,44.0,V ugm-3,29.0,V ugm-3 (INDIC.GRAV),,
2001-01-25,46.0,V ugm-3,19.0,V ugm-3 (INDIC.GRAV),,
2001-01-26,55.0,V ugm-3,19.0,V ugm-3 (INDIC.GRAV),,
2001-01-27,46.0,V ugm-3,31.0,V ugm-3 (INDIC.GRAV),,
2001-01-28,47.0,V ugm-3,27.0,V ugm-3 (INDIC.GRAV),,
2001-01-29,56.0,V ugm-3,24.0,V ugm-3 (INDIC.GRAV),,
