Date,Nitrogen dioxide,Status_x,PM10 particulate matter (Hourly measured),Status_y,PM2.5 particulate matter (Hourly measured),Status.1
2011-01-01,32.0,V ugm-3,29.0,V ugm-3 (TEOM FDMS),20.0,V ugm-3 (TEOM FDMS)
2011-01-02,28.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2011-01-03,39.0,V ugm-3,24.0,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2011-01-04,56.0,V ugm-3,,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2011-01-05,39.0,V ugm-3,,V ugm-3 (TEOM FDMS),10.0,V ugm-3 (TEOM FDMS)
2011-01-06,62.0,V ugm-3,25.0,V ugm-3 (TEOM FDMS),13.0,V ugm-3 (TEOM FDMS)
2011-01-07,51.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),15.0,V ugm-3 (TEOM FDMS)
2011-01-08,26.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2011-01-09,37.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2011-01-10,30.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2011-01-11,34.0,V ugm-3,19.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2011-01-12,27.0,V ugm-3,10.0,V ugm-3 (TEOM FDMS),4.0,V ugm-3 (TEOM FDMS)
2011-01-13,33.0,V ugm-3,12.0,V ugm-3 (TEOM FDMS),5.0,V ugm-3 (TEOM FDMS)
2011-01-14,26.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),7.0,V ugm-3 (TEOM FDMS)
2011-01-15,20.0,V ugm-3,26.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2011-01-16,18.0,V ugm-3,23.0,V ugm-3 (TEOM FDMS),6.0,V ugm-3 (TEOM FDMS)
2011-01-17,51.0,V ugm-3,21.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2011-01-18,53.0,V ugm-3,22.0,V ugm-3 (TEOM FDMS),8.0,V ugm-3 (TEOM FDMS)
2011-01-19,72.0,V ugm-3,,V ugm-3 (TEOM FDMS),16.0,V ugm-3 (TEOM FDMS)
2011-01-20,77.0,V ugm-3,28.0,V ugm-3 (TEOM FDMS),17.0,V ugm-3 (TEOM FDMS)
2011-01-21,62.0,V ugm-3,32.0,V ugm-3 (TEOM FDMS),23.0,V ugm-3 (TEOM FDMS)
2011-01-22,51.0,V ugm-3,30.0,V ugm-3 (TEOM FDMS),22.0,V ugm-3 (TEOM FDMS)
2011-01-23,23.0,V ugm-3,20.0,V ugm-3 (TEOM FDMS),12.0,V ugm-3 (TEOM FDMS)
2011-01-24,42.0,V ugm-3,18.0,V ugm-3 (TEOM FDMS),9.0,V ugm-3 (TEOM FDMS)
